setting,registered_in,readers,status
menu_item_height,"plugins/aureon-studio\spacing\functions\customizer\navigation-spacing.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php",CONNECTED
menu_mini_cart,"plugins/aureon-studio\woocommerce\functions\customizer\customizer.php","plugins/aureon-studio\woocommerce\functions\functions.php",CONNECTED
merge_top_bar,"plugins/aureon-studio\secondary-nav\functions\functions.php","plugins/aureon-studio\secondary-nav\functions\functions.php",CONNECTED
mobile_columns,"plugins/aureon-studio\woocommerce\functions\customizer\customizer.php","plugins/aureon-studio\woocommerce\functions\functions.php",CONNECTED
mobile_columns_gap,"plugins/aureon-studio\woocommerce\functions\customizer\customizer.php","plugins/aureon-studio\woocommerce\functions\functions.php",CONNECTED
mobile_content_bottom,"plugins/aureon-studio\spacing\functions\customizer\content-spacing.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\spacing\functions\migration.php",CONNECTED
mobile_content_left,"plugins/aureon-studio\spacing\functions\customizer\content-spacing.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\blog\functions\aureon-blog.php | plugins/aureon-studio\sections\functions\aureon-sections.php | plugins/aureon-studio\spacing\functions\migration.php",CONNECTED
mobile_content_right,"plugins/aureon-studio\spacing\functions\customizer\content-spacing.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\blog\functions\aureon-blog.php | plugins/aureon-studio\sections\functions\aureon-sections.php | plugins/aureon-studio\spacing\functions\migration.php",CONNECTED
mobile_content_top,"plugins/aureon-studio\spacing\functions\customizer\content-spacing.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\blog\functions\aureon-blog.php | plugins/aureon-studio\spacing\functions\migration.php",CONNECTED
mobile_footer_widget_container_bottom,"plugins/aureon-studio\spacing\functions\customizer\footer-spacing.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\spacing\functions\functions.php",CONNECTED
mobile_footer_widget_container_left,"plugins/aureon-studio\spacing\functions\customizer\footer-spacing.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\spacing\functions\functions.php",CONNECTED
mobile_footer_widget_container_right,"plugins/aureon-studio\spacing\functions\customizer\footer-spacing.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\spacing\functions\functions.php",CONNECTED
mobile_footer_widget_container_top,"plugins/aureon-studio\spacing\functions\customizer\footer-spacing.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\spacing\functions\functions.php",CONNECTED
mobile_header,"plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php","themes/aureon\inc\plugin-compat.php | plugins/aureon-studio\disable-elements\functions\functions.php | plugins/aureon-studio\library\customizer\active-callbacks.php | plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php | plugins/aureon-studio\typography\functions\functions.php",CONNECTED
mobile_header_auto_hide_sticky,"plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php","plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php",CONNECTED
mobile_header_bottom,"plugins/aureon-studio\spacing\functions\customizer\header-spacing.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\spacing\functions\functions.php",CONNECTED
mobile_header_branding,"plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php","plugins/aureon-studio\elements\class-elements-helper.php | plugins/aureon-studio\library\customizer\active-callbacks.php | plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php",CONNECTED
mobile_header_left,"plugins/aureon-studio\spacing\functions\customizer\header-spacing.php","themes/aureon\inc\css-output.php | themes/aureon\inc\plugin-compat.php | plugins/aureon-studio\spacing\functions\functions.php",CONNECTED
mobile_header_logo,"plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php","plugins/aureon-studio\elements\class-elements-helper.php | plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php",CONNECTED
mobile_header_right,"plugins/aureon-studio\spacing\functions\customizer\header-spacing.php","themes/aureon\inc\css-output.php | themes/aureon\inc\plugin-compat.php | plugins/aureon-studio\spacing\functions\functions.php",CONNECTED
mobile_header_sticky,"plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php","themes/aureon\inc\plugin-compat.php | plugins/aureon-studio\elements\class-elements-helper.php | plugins/aureon-studio\library\customizer\active-callbacks.php | plugins/aureon-studio\menu-plus\functions\aureon-menu-plus.php",CONNECTED
mobile_header_top,"plugins/aureon-studio\spacing\functions\customizer\header-spacing.php","themes/aureon\inc\css-output.php | plugins/aureon-studio\spacing\functions\functions.php",CONNECTED
mobile_heading_1_font_size,"themes/aureon\inc\typography.php | plugins/aureon-studio\typography\functions\functions.php","themes/aureon\inc\css-output.php",CONNECTED
mobile_heading_2_font_size,"themes/aureon\inc\typography.php | plugins/aureon-studio\typography\functions\functions.php","themes/aureon\inc\css-output.php",CONNECTED
mobile_heading_3_font_size,"plugins/aureon-studio\typography\functions\functions.php","themes/aureon\inc\css-output.php",CONNECTED
