Product ID,Title,Handle,Vendor,Product Type,Published,Created,Updated,Tags,Total Variants,Total Images,Price Range,In Stock
"=""7887914041434""",Linen Camp Shirt | White & Indigo,mens-linen-camp-shirt-white-indigo,Thursday - Men's Shirts,Shirts,6/24/2026,4/28/2026,8/8/2026,accessories; accessory-full; all:All; anagram-enabled; bf21:MBeanie; bf21:Men-Belt-Brown; bf21:Shirt; bfcm-eligible; BIS; color:White; credit_fee:FREE; exchange_fee:FREE; free-gift; highlight:New Arrival; honest-pricing; interactive-details; klaviyo:Men; live_product; loop-accessory; material:Linen; mens-shirts; mlp:mens-shirts; model:Linen Camp Shirt; pf-gender:Male; product-switcher; redo:linen camp shirt; refund_fee: FREE; retail-sync; shirts:Linen Camp Shirt; show-previews; show-sizing-tip; show_recs; size-chart; size:tbc-shirt; thumb-groups:mens-linen-shirt;mens-linen-camp-shirt; thumbnails:mens-linen-camp-shirt; trove-exclude; wair-enabled; wair-testing; YGroup_mens-linen-camp-shirt,5,8,$28100 - $28100,Yes
"=""7887911845978""",Linen Camp Shirt | Light Blue,mens-linen-camp-shirt-light-blue,Thursday - Men's Shirts,Shirts,6/24/2026,4/28/2026,8/8/2026,accessories; accessory-full; all:All; anagram-enabled; bf21:MBeanie; bf21:Men-Belt-Brown; bf21:Shirt; bfcm-eligible; BIS; color:Blue; credit_fee:FREE; exchange_fee:FREE; free-gift; highlight:New Arrival; honest-pricing; interactive-details; klaviyo:Men; live_product; loop-accessory; material:Linen; mens-shirts; mlp:mens-shirts; model:Linen Camp Shirt; pf-gender:Male; product-switcher; redo:linen camp shirt; refund_fee: FREE; retail-sync; shirts:Linen Camp Shirt; show-previews; show-sizing-tip; show_recs; size-chart; size:tbc-shirt; thumb-groups:mens-linen-shirt;mens-linen-camp-shirt; thumbnails:mens-linen-camp-shirt; trove-exclude; wair-enabled; wair-testing; YGroup_mens-linen-camp-shirt,5,8,$28100 - $28100,Yes
"=""7887909388378""",Linen Camp Shirt | White,mens-linen-camp-shirt-white,Thursday - Men's Shirts,Shirts,6/24/2026,4/28/2026,8/8/2026,accessories; accessory-full; all:All; anagram-enabled; bf21:MBeanie; bf21:Men-Belt-Brown; bf21:Shirt; bfcm-eligible; BIS; color:White; credit_fee:FREE; exchange_fee:FREE; free-gift; highlight:New Arrival; honest-pricing; interactive-details; klaviyo:Men; live_product; loop-accessory; material:Linen; mens-shirts; mlp:mens-shirts; model:Linen Camp Shirt; pf-gender:Male; product-switcher; redo:linen camp shirt; refund_fee: FREE; retail-sync; shirts:Linen Camp Shirt; show-previews; show-sizing-tip; show_recs; size-chart; size:tbc-shirt; thumb-groups:mens-linen-shirt;mens-linen-camp-shirt; thumbnails:mens-linen-camp-shirt; trove-exclude; wair-enabled; wair-testing; YGroup_mens-linen-camp-shirt,5,8,$28100 - $28100,Yes
"=""7887897886810""",Linen Camp Shirt | Olive,mens-linen-camp-shirt-olive,Thursday - Men's Shirts,Shirts,6/24/2026,4/28/2026,8/8/2026,accessories; accessory-full; all:All; anagram-enabled; bf21:MBeanie; bf21:Men-Belt-Brown; bf21:Shirt; bfcm-eligible; BIS; color:Olive; credit_fee:FREE; exchange_fee:FREE; free-gift; highlight:New Arrival; honest-pricing; interactive-details; klaviyo:Men; live_product; loop-accessory; material:Linen; mens-shirts; mlp:mens-shirts; model:Linen Camp Shirt; pf-gender:Male; product-switcher; redo:linen camp shirt; refund_fee: FREE; retail-sync; shirts:Linen Camp Shirt; show-previews; show-sizing-tip; show_recs; size-chart; size:tbc-shirt; thumb-groups:mens-linen-shirt;mens-linen-camp-shirt; thumbnails:mens-linen-camp-shirt; trove-exclude; wair-enabled; wair-testing; YGroup_mens-linen-camp-shirt,5,8,$28100 - $28100,Yes
"=""7444717994074""",Cobbler's Choice Leather Conditioner + Brush Bundle,leather-conditioner-brush-bundle,Thursday Boots - Accessories,Shoe Care,6/11/2026,4/9/2025,8/8/2026,accessory-full; all:All; BIS; bundle-item; care-type:Leather; cobblers-choice; credit_fee:500; exchange_fee:500; klaviyo:Unisex; live_product; loop-accessory; pf-gender:Unisex; pf-status:active; pf-style:Shoe Care; pf-type:Accessories; product-switcher; recurate-disqualify; recurate-hide; refund_fee: 500; retail-sync; thumbnails:shoe-care-bundles; trove-exclude,1,3,$7200 - $7200,Yes
"=""7444713570394""",Cobbler's Choice Leather Cleaner + Brush Bundle,leather-cleaner-brush-bundle,Thursday Boots - Accessories,Shoe Care,6/3/2026,4/9/2025,8/8/2026,accessory-full; all:All; BIS; bundle-item; care-type:Leather; cobblers-choice; credit_fee:500; exchange_fee:500; klaviyo:Unisex; live_product; loop-accessory; pf-gender:Unisex; pf-status:active; pf-style:Shoe Care; pf-type:Accessories; product-switcher; recurate-disqualify; recurate-hide; refund_fee: 500; retail-sync; thumbnails:shoe-care-bundles; trove-exclude,1,3,$5800 - $5800,Yes
"=""7929277153370""",legacy retail test,legacy-retail-test,Thursday Boot Company,,5/27/2026,5/27/2026,8/8/2026,,1,0,$0 - $0,Yes
"=""7867950039130""",Vesper | Dark Brown,womens-vesper-knee-high-riding-boot-dark-brown,Thursday Boots - Women's,boots,5/21/2026,4/15/2026,8/8/2026,"4col:Vesper; all:All; anagram-enabled; bf21:Leather; bf21:W-Boot-Black; bf21:WBeanie; bf21:Women-Belt-Black; bfcm-eligible; bfcm-restock; BIS; calf-widths; category:Women's Boots; color:Brown; credit_fee:FREE; exchange_fee:FREE; extended-sizes; fit-guide; fit_cat:true-to-size; fitfinder_inline; fqv2:tts-up; free-gift; group:Boots; heel:Low (1-2""); honest-pricing; interactive-details; klaviyo:Women; live_product; ls-testing; material:Leather; mlp:womens-boots-hh; model:Vesper; no-cs-variants; pf-gender:Female; pf-status:active; pf-type:Boots; product-switcher; recommend:+0.5; redo:vesper; refund_fee: FREE; retail-sync; show-previews; show_recs; tall-details; thumbnails:womens-vesper; trove-exclude; w-beanie; width:Standard; width:Wide Calf; wl-test; womens-boots; YGroup_womens-vesper-boots; zipper:Zipper",30,10,$70100 - $70100,Yes
"=""7868037890138""",Soleil | Snow White,womens-soleil-knee-high-riding-boot-snow-white,Thursday Boots - Women's,boots,5/21/2026,4/16/2026,8/8/2026,"4col:Soleil; all:All; anagram-enabled; bf21:Leather; bf21:W-Boot-Black; bf21:WBeanie; bf21:Women-Belt-Black; bfcm-eligible; bfcm-restock; BIS; calf-widths; category:Women's Boots; color:White; credit_fee:FREE; exchange_fee:FREE; extended-sizes; fit-guide; fit_cat:true-to-size; fitfinder_inline; fqv2:tts-up; free-gift; group:Boots; heel:High (3-4""); honest-pricing; interactive-details; klaviyo:Women; live_product; material:Leather; mlp:womens-boots-hh; model:Soleil; no-cs-variants; pf-gender:Female; pf-status:active; pf-type:Boots; product-switcher; recommend:+0.5; redo:soleil; refund_fee: FREE; retail-sync; show-previews; show_recs; tall-details; thumbnails:womens-soleil; trove-exclude; w-beanie; width:Standard; width:Wide Calf; wl-test; womens-boots; YGroup_womens-soleil-boots; zipper:Zipper",30,11,$67300 - $67300,Yes
"=""7868036481114""",Soleil | Dark Brown,womens-soleil-knee-high-riding-boot-dark-brown,Thursday Boots - Women's,boots,5/21/2026,4/16/2026,8/8/2026,"4col:Soleil; all:All; anagram-enabled; bf21:Leather; bf21:W-Boot-Black; bf21:WBeanie; bf21:Women-Belt-Black; bfcm-eligible; bfcm-restock; BIS; calf-widths; category:Women's Boots; color:Brown; credit_fee:FREE; exchange_fee:FREE; extended-sizes; fit-guide; fit_cat:true-to-size; fitfinder_inline; fqv2:tts-up; free-gift; group:Boots; heel:High (3-4""); honest-pricing; interactive-details; klaviyo:Women; live_product; material:Leather; mlp:womens-boots-hh; model:Soleil; no-cs-variants; pf-gender:Female; pf-status:active; pf-type:Boots; product-switcher; recommend:+0.5; redo:soleil; refund_fee: FREE; retail-sync; show-previews; show_recs; tall-details; thumbnails:womens-soleil; trove-exclude; w-beanie; width:Standard; width:Wide Calf; wl-test; womens-boots; YGroup_womens-soleil-boots; zipper:Zipper",30,11,$67300 - $67300,Yes
